,date_jour,code_site,drop_after_tch_assign,techno
0,20230312,36,0,2G
1,20230312,OCI0001,439,2G
2,20230312,OCI0002,276,2G
3,20230312,OCI0003,226,2G
4,20230312,OCI0004,493,2G
5,20230312,OCI0005,381,2G
6,20230312,OCI0006,409,2G
7,20230312,OCI0007,29,2G
8,20230312,OCI0008,189,2G
9,20230312,OCI0009,290,2G
10,20230312,OCI0010,279,2G
11,20230312,OCI0011,410,2G
12,20230312,OCI0012,204,2G
13,20230312,OCI0013,458,2G
14,20230312,OCI0014,180,2G
15,20230312,OCI0015,587,2G
16,20230312,OCI0016,1299,2G
17,20230312,OCI0017,933,2G
18,20230312,OCI0018,423,2G
19,20230312,OCI0019,356,2G
20,20230312,OCI0020,307,2G
21,20230312,OCI0021,2018,2G
22,20230312,OCI0022,318,2G
23,20230312,OCI0023,424,2G
24,20230312,OCI0024,377,2G
25,20230312,OCI0025,765,2G
26,20230312,OCI0026,1584,2G
27,20230312,OCI0027,0,2G
28,20230312,OCI0028,767,2G
29,20230312,OCI0029,827,2G
30,20230312,OCI0030,324,2G
31,20230312,OCI0031,1214,2G
32,20230312,OCI0032,0,2G
33,20230312,OCI0033,293,2G
34,20230312,OCI0034,0,2G
35,20230312,OCI0035,338,2G
36,20230312,OCI0036,434,2G
37,20230312,OCI0037,371,2G
38,20230312,OCI0038,628,2G
39,20230312,OCI0039,469,2G
40,20230312,OCI0041,257,2G
41,20230312,OCI0042,341,2G
42,20230312,OCI0043,684,2G
43,20230312,OCI0044,605,2G
44,20230312,OCI0045,299,2G
45,20230312,OCI0046,340,2G
46,20230312,OCI0047,144,2G
47,20230312,OCI0048,295,2G
48,20230312,OCI0049,1381,2G
49,20230312,OCI0050,3033,2G
50,20230312,OCI0051,411,2G
51,20230312,OCI0052,235,2G
52,20230312,OCI0053,170,2G
53,20230312,OCI0054,125,2G
54,20230312,OCI0055,327,2G
55,20230312,OCI0056,679,2G
56,20230312,OCI0057,796,2G
57,20230312,OCI0058,108,2G
58,20230312,OCI0059,2312,2G
59,20230312,OCI0060,662,2G
60,20230312,OCI0061,278,2G
61,20230312,OCI0062,243,2G
62,20230312,OCI0063,697,2G
63,20230312,OCI0064,357,2G
64,20230312,OCI0065,544,2G
65,20230312,OCI0066,202,2G
66,20230312,OCI0067,492,2G
67,20230312,OCI0068,364,2G
68,20230312,OCI0069,186,2G
69,20230312,OCI0070,398,2G
70,20230312,OCI0071,241,2G
71,20230312,OCI0072,123,2G
72,20230312,OCI0073,227,2G
73,20230312,OCI0074,395,2G
74,20230312,OCI0075,323,2G
75,20230312,OCI0076,776,2G
76,20230312,OCI0077,299,2G
77,20230312,OCI0078,790,2G
78,20230312,OCI0080,301,2G
79,20230312,OCI0081,320,2G
80,20230312,OCI0082,102,2G
81,20230312,OCI0083,276,2G
82,20230312,OCI0084,229,2G
83,20230312,OCI0085,128,2G
84,20230312,OCI0086,214,2G
85,20230312,OCI0087,271,2G
86,20230312,OCI0088,283,2G
87,20230312,OCI0089,487,2G
88,20230312,OCI0090,39,2G
89,20230312,OCI0091,788,2G
90,20230312,OCI0092,1939,2G
91,20230312,OCI0093,1193,2G
92,20230312,OCI0094,464,2G
93,20230312,OCI0095,112,2G
94,20230312,OCI0096,227,2G
95,20230312,OCI0097,1047,2G
96,20230312,OCI0098,542,2G
97,20230312,OCI0099,50,2G
98,20230312,OCI0100,304,2G
99,20230312,OCI0101,378,2G
100,20230312,OCI0102,212,2G
101,20230312,OCI0104,718,2G
102,20230312,OCI0105,675,2G
103,20230312,OCI0106,293,2G
104,20230312,OCI0107,126,2G
105,20230312,OCI0108,355,2G
106,20230312,OCI0109,193,2G
107,20230312,OCI0110,111,2G
108,20230312,OCI0111,20,2G
109,20230312,OCI0112,2349,2G
110,20230312,OCI0113,466,2G
111,20230312,OCI0114,98,2G
112,20230312,OCI0115,121,2G
113,20230312,OCI0116,3288,2G
114,20230312,OCI0117,285,2G
115,20230312,OCI0118,1569,2G
116,20230312,OCI0119,1530,2G
117,20230312,OCI0121,0,2G
118,20230312,OCI0122,962,2G
119,20230312,OCI0123,691,2G
120,20230312,OCI0124,7,2G
121,20230312,OCI0125,42,2G
122,20230312,OCI0127,757,2G
123,20230312,OCI0128,612,2G
124,20230312,OCI0129,831,2G
125,20230312,OCI0130,105,2G
126,20230312,OCI0132,185,2G
127,20230312,OCI0134,441,2G
128,20230312,OCI0135,508,2G
129,20230312,OCI0136,143,2G
130,20230312,OCI0137,317,2G
131,20230312,OCI0138,53,2G
132,20230312,OCI0139,982,2G
133,20230312,OCI0141,87,2G
134,20230312,OCI0142,1061,2G
135,20230312,OCI0143,16,2G
136,20230312,OCI0144,303,2G
137,20230312,OCI0145,21,2G
138,20230312,OCI0146,237,2G
139,20230312,OCI0147,950,2G
140,20230312,OCI0148,261,2G
141,20230312,OCI0149,392,2G
142,20230312,OCI0150,709,2G
143,20230312,OCI0151,291,2G
144,20230312,OCI0152,1051,2G
145,20230312,OCI0153,1186,2G
146,20230312,OCI0154,253,2G
147,20230312,OCI0155,1346,2G
148,20230312,OCI0156,380,2G
149,20230312,OCI0157,74,2G
150,20230312,OCI0158,1408,2G
151,20230312,OCI0159,3220,2G
152,20230312,OCI0160,460,2G
153,20230312,OCI0161,248,2G
154,20230312,OCI0162,385,2G
155,20230312,OCI0163,876,2G
156,20230312,OCI0164,126,2G
157,20230312,OCI0165,117,2G
158,20230312,OCI0166,332,2G
159,20230312,OCI0167,571,2G
160,20230312,OCI0168,472,2G
161,20230312,OCI0169,650,2G
162,20230312,OCI0172,399,2G
163,20230312,OCI0173,343,2G
164,20230312,OCI0174,794,2G
165,20230312,OCI0175,1127,2G
166,20230312,OCI0176,589,2G
167,20230312,OCI0177,268,2G
168,20230312,OCI0178,324,2G
169,20230312,OCI0179,1172,2G
170,20230312,OCI0180,642,2G
171,20230312,OCI0181,1781,2G
172,20230312,OCI0182,451,2G
173,20230312,OCI0183,183,2G
174,20230312,OCI0184,91,2G
175,20230312,OCI0185,1803,2G
176,20230312,OCI0186,1216,2G
177,20230312,OCI0187,187,2G
178,20230312,OCI0188,173,2G
179,20230312,OCI0189,481,2G
180,20230312,OCI0190,203,2G
181,20230312,OCI0191,591,2G
182,20230312,OCI0192,449,2G
183,20230312,OCI0193,904,2G
184,20230312,OCI0194,708,2G
185,20230312,OCI0195,203,2G
186,20230312,OCI0196,179,2G
187,20230312,OCI0197,1243,2G
188,20230312,OCI0198,274,2G
189,20230312,OCI0199,512,2G
190,20230312,OCI0200,73,2G
191,20230312,OCI0201,133,2G
192,20230312,OCI0202,122,2G
193,20230312,OCI0203,939,2G
194,20230312,OCI0204,472,2G
195,20230312,OCI0205,122,2G
196,20230312,OCI0206,604,2G
197,20230312,OCI0207,1128,2G
198,20230312,OCI0208,993,2G
199,20230312,OCI0209,348,2G
200,20230312,OCI0210,785,2G
201,20230312,OCI0211,319,2G
202,20230312,OCI0212,402,2G
203,20230312,OCI0213,1303,2G
204,20230312,OCI0214,470,2G
205,20230312,OCI0216,114,2G
206,20230312,OCI0219,3063,2G
207,20230312,OCI0220,352,2G
208,20230312,OCI0221,1566,2G
209,20230312,OCI0222,463,2G
210,20230312,OCI0223,106,2G
211,20230312,OCI0224,466,2G
212,20230312,OCI0225,877,2G
213,20230312,OCI0226,68,2G
214,20230312,OCI0227,2712,2G
215,20230312,OCI0228,461,2G
216,20230312,OCI0229,189,2G
217,20230312,OCI0230,315,2G
218,20230312,OCI0231,233,2G
219,20230312,OCI0232,867,2G
220,20230312,OCI0233,1261,2G
221,20230312,OCI0234,1882,2G
222,20230312,OCI0235,71,2G
223,20230312,OCI0236,480,2G
224,20230312,OCI0237,216,2G
225,20230312,OCI0238,542,2G
226,20230312,OCI0239,647,2G
227,20230312,OCI0240,430,2G
228,20230312,OCI0241,893,2G
229,20230312,OCI0242,157,2G
230,20230312,OCI0243,150,2G
231,20230312,OCI0244,264,2G
232,20230312,OCI0245,14,2G
233,20230312,OCI0246,150,2G
234,20230312,OCI0247,1554,2G
235,20230312,OCI0248,1142,2G
236,20230312,OCI0249,708,2G
237,20230312,OCI0250,317,2G
238,20230312,OCI0251,264,2G
239,20230312,OCI0252,178,2G
240,20230312,OCI0253,275,2G
241,20230312,OCI0254,427,2G
242,20230312,OCI0255,444,2G
243,20230312,OCI0256,816,2G
244,20230312,OCI0257,927,2G
245,20230312,OCI0258,286,2G
246,20230312,OCI0259,255,2G
247,20230312,OCI0260,364,2G
248,20230312,OCI0261,686,2G
249,20230312,OCI0262,2127,2G
250,20230312,OCI0263,1753,2G
251,20230312,OCI0264,2530,2G
252,20230312,OCI0265,572,2G
253,20230312,OCI0266,2208,2G
254,20230312,OCI0267,1369,2G
255,20230312,OCI0268,1867,2G
256,20230312,OCI0269,1620,2G
257,20230312,OCI0270,834,2G
258,20230312,OCI0271,171,2G
259,20230312,OCI0272,208,2G
260,20230312,OCI0273,371,2G
261,20230312,OCI0274,783,2G
262,20230312,OCI0275,103,2G
263,20230312,OCI0276,1417,2G
264,20230312,OCI0277,30,2G
265,20230312,OCI0278,0,2G
266,20230312,OCI0279,267,2G
267,20230312,OCI0280,274,2G
268,20230312,OCI0281,25,2G
269,20230312,OCI0282,90,2G
270,20230312,OCI0283,214,2G
271,20230312,OCI0284,848,2G
272,20230312,OCI0285,294,2G
273,20230312,OCI0286,174,2G
274,20230312,OCI0287,166,2G
275,20230312,OCI0288,1001,2G
276,20230312,OCI0291,367,2G
277,20230312,OCI0292,37,2G
278,20230312,OCI0293,6453,2G
279,20230312,OCI0294,316,2G
280,20230312,OCI0295,667,2G
281,20230312,OCI0297,152,2G
282,20230312,OCI0298,261,2G
283,20230312,OCI0299,553,2G
284,20230312,OCI0300,165,2G
285,20230312,OCI0301,451,2G
286,20230312,OCI0302,98,2G
287,20230312,OCI0303,273,2G
288,20230312,OCI0304,168,2G
289,20230312,OCI0305,538,2G
290,20230312,OCI0306,351,2G
291,20230312,OCI0307,88,2G
292,20230312,OCI0308,100,2G
293,20230312,OCI0309,628,2G
294,20230312,OCI0311,482,2G
295,20230312,OCI0312,94,2G
296,20230312,OCI0313,196,2G
297,20230312,OCI0314,141,2G
298,20230312,OCI0315,451,2G
299,20230312,OCI0316,409,2G
300,20230312,OCI0317,1122,2G
301,20230312,OCI0319,771,2G
302,20230312,OCI0320,859,2G
303,20230312,OCI0321,158,2G
304,20230312,OCI0322,406,2G
305,20230312,OCI0323,1331,2G
306,20230312,OCI0324,388,2G
307,20230312,OCI0325,1558,2G
308,20230312,OCI0326,1167,2G
309,20230312,OCI0327,515,2G
310,20230312,OCI0328,805,2G
311,20230312,OCI0329,837,2G
312,20230312,OCI0330,297,2G
313,20230312,OCI0331,3208,2G
314,20230312,OCI0332,277,2G
315,20230312,OCI0333,1458,2G
316,20230312,OCI0334,1507,2G
317,20230312,OCI0335,1208,2G
318,20230312,OCI0336,1012,2G
319,20230312,OCI0337,426,2G
320,20230312,OCI0338,429,2G
321,20230312,OCI0339,215,2G
322,20230312,OCI0341,1000,2G
323,20230312,OCI0342,136,2G
324,20230312,OCI0343,319,2G
325,20230312,OCI0344,11,2G
326,20230312,OCI0345,2645,2G
327,20230312,OCI0347,406,2G
328,20230312,OCI0348,356,2G
329,20230312,OCI0349,354,2G
330,20230312,OCI0350,1426,2G
331,20230312,OCI0351,327,2G
332,20230312,OCI0352,2259,2G
333,20230312,OCI0353,209,2G
334,20230312,OCI0354,677,2G
335,20230312,OCI0355,592,2G
336,20230312,OCI0356,161,2G
337,20230312,OCI0357,2127,2G
338,20230312,OCI0358,77,2G
339,20230312,OCI0359,171,2G
340,20230312,OCI0360,316,2G
341,20230312,OCI0361,3489,2G
342,20230312,OCI0362,857,2G
343,20230312,OCI0363,854,2G
344,20230312,OCI0364,350,2G
345,20230312,OCI0365,524,2G
346,20230312,OCI0366,146,2G
347,20230312,OCI0367,1077,2G
348,20230312,OCI0368,643,2G
349,20230312,OCI0369,235,2G
350,20230312,OCI0370,241,2G
351,20230312,OCI0371,130,2G
352,20230312,OCI0372,275,2G
353,20230312,OCI0373,242,2G
354,20230312,OCI0374,692,2G
355,20230312,OCI0375,1205,2G
356,20230312,OCI0376,256,2G
357,20230312,OCI0377,1882,2G
358,20230312,OCI0378,1921,2G
359,20230312,OCI0379,506,2G
360,20230312,OCI0380,1125,2G
361,20230312,OCI0381,157,2G
362,20230312,OCI0382,416,2G
363,20230312,OCI0383,705,2G
364,20230312,OCI0384,2550,2G
365,20230312,OCI0385,95,2G
366,20230312,OCI0386,1988,2G
367,20230312,OCI0387,881,2G
368,20230312,OCI0388,1392,2G
369,20230312,OCI0389,1494,2G
370,20230312,OCI0390,1521,2G
371,20230312,OCI0391,661,2G
372,20230312,OCI0392,691,2G
373,20230312,OCI0393,5910,2G
374,20230312,OCI0394,82,2G
375,20230312,OCI0395,989,2G
376,20230312,OCI0396,982,2G
377,20230312,OCI0397,906,2G
378,20230312,OCI0398,884,2G
379,20230312,OCI0399,204,2G
380,20230312,OCI0400,270,2G
381,20230312,OCI0401,327,2G
382,20230312,OCI0402,440,2G
383,20230312,OCI0403,194,2G
384,20230312,OCI0404,3655,2G
385,20230312,OCI0405,328,2G
386,20230312,OCI0406,338,2G
387,20230312,OCI0407,315,2G
388,20230312,OCI0408,503,2G
389,20230312,OCI0409,37,2G
390,20230312,OCI0410,25,2G
391,20230312,OCI0411,94,2G
392,20230312,OCI0412,52,2G
393,20230312,OCI0413,163,2G
394,20230312,OCI0414,1886,2G
395,20230312,OCI0415,517,2G
396,20230312,OCI0416,644,2G
397,20230312,OCI0417,621,2G
398,20230312,OCI0418,95,2G
399,20230312,OCI0419,444,2G
400,20230312,OCI0420,821,2G
401,20230312,OCI0421,1016,2G
402,20230312,OCI0422,309,2G
403,20230312,OCI0423,399,2G
404,20230312,OCI0424,678,2G
405,20230312,OCI0426,639,2G
406,20230312,OCI0427,183,2G
407,20230312,OCI0428,136,2G
408,20230312,OCI0429,1787,2G
409,20230312,OCI0430,290,2G
410,20230312,OCI0431,176,2G
411,20230312,OCI0432,338,2G
412,20230312,OCI0433,121,2G
413,20230312,OCI0434,189,2G
414,20230312,OCI0435,324,2G
415,20230312,OCI0436,0,2G
416,20230312,OCI0437,41,2G
417,20230312,OCI0438,268,2G
418,20230312,OCI0439,160,2G
419,20230312,OCI0440,170,2G
420,20230312,OCI0441,516,2G
421,20230312,OCI0442,37,2G
422,20230312,OCI0443,452,2G
423,20230312,OCI0444,556,2G
424,20230312,OCI0445,908,2G
425,20230312,OCI0446,1297,2G
426,20230312,OCI0447,960,2G
427,20230312,OCI0448,1302,2G
428,20230312,OCI0449,904,2G
429,20230312,OCI0450,1039,2G
430,20230312,OCI0451,241,2G
431,20230312,OCI0452,338,2G
432,20230312,OCI0453,1795,2G
433,20230312,OCI0454,837,2G
434,20230312,OCI0455,120,2G
435,20230312,OCI0456,701,2G
436,20230312,OCI0457,137,2G
437,20230312,OCI0458,208,2G
438,20230312,OCI0459,988,2G
439,20230312,OCI0460,797,2G
440,20230312,OCI0461,269,2G
441,20230312,OCI0463,1970,2G
442,20230312,OCI0464,537,2G
443,20230312,OCI0465,188,2G
444,20230312,OCI0466,125,2G
445,20230312,OCI0467,652,2G
446,20230312,OCI0468,275,2G
447,20230312,OCI0469,1830,2G
448,20230312,OCI0470,79,2G
449,20230312,OCI0472,3389,2G
450,20230312,OCI0473,1506,2G
451,20230312,OCI0474,914,2G
452,20230312,OCI0475,3474,2G
453,20230312,OCI0476,324,2G
454,20230312,OCI0477,589,2G
455,20230312,OCI0478,208,2G
456,20230312,OCI0479,1800,2G
457,20230312,OCI0480,1431,2G
458,20230312,OCI0481,654,2G
459,20230312,OCI0482,762,2G
460,20230312,OCI0483,355,2G
461,20230312,OCI0484,603,2G
462,20230312,OCI0485,501,2G
463,20230312,OCI0486,1046,2G
464,20230312,OCI0487,582,2G
465,20230312,OCI0488,199,2G
466,20230312,OCI0489,116,2G
467,20230312,OCI0490,24,2G
468,20230312,OCI0491,627,2G
469,20230312,OCI0492,719,2G
470,20230312,OCI0493,440,2G
471,20230312,OCI0494,1112,2G
472,20230312,OCI0495,68,2G
473,20230312,OCI0496,912,2G
474,20230312,OCI0497,140,2G
475,20230312,OCI0498,1083,2G
476,20230312,OCI0499,178,2G
477,20230312,OCI0500,127,2G
478,20230312,OCI0501,372,2G
479,20230312,OCI0502,479,2G
480,20230312,OCI0503,836,2G
481,20230312,OCI0504,1285,2G
482,20230312,OCI0505,437,2G
483,20230312,OCI0506,215,2G
484,20230312,OCI0507,215,2G
485,20230312,OCI0508,1395,2G
486,20230312,OCI0509,80,2G
487,20230312,OCI0510,2758,2G
488,20230312,OCI0511,496,2G
489,20230312,OCI0512,1189,2G
490,20230312,OCI0513,110,2G
491,20230312,OCI0514,197,2G
492,20230312,OCI0515,793,2G
493,20230312,OCI0516,1113,2G
494,20230312,OCI0517,85,2G
495,20230312,OCI0518,1152,2G
496,20230312,OCI0519,619,2G
497,20230312,OCI0520,699,2G
498,20230312,OCI0521,345,2G
499,20230312,OCI0522,1461,2G
500,20230312,OCI0523,60,2G
501,20230312,OCI0524,704,2G
502,20230312,OCI0525,792,2G
503,20230312,OCI0526,109,2G
504,20230312,OCI0527,298,2G
505,20230312,OCI0528,737,2G
506,20230312,OCI0529,2444,2G
507,20230312,OCI0530,1650,2G
508,20230312,OCI0531,787,2G
509,20230312,OCI0532,400,2G
510,20230312,OCI0533,226,2G
511,20230312,OCI0534,246,2G
512,20230312,OCI0535,62,2G
513,20230312,OCI0536,753,2G
514,20230312,OCI0537,148,2G
515,20230312,OCI0538,1558,2G
516,20230312,OCI0539,931,2G
517,20230312,OCI0540,177,2G
518,20230312,OCI0541,283,2G
519,20230312,OCI0542,10,2G
520,20230312,OCI0544,135,2G
521,20230312,OCI0545,170,2G
522,20230312,OCI0546,56,2G
523,20230312,OCI0547,594,2G
524,20230312,OCI0548,204,2G
525,20230312,OCI0549,117,2G
526,20230312,OCI0550,176,2G
527,20230312,OCI0551,594,2G
528,20230312,OCI0552,168,2G
529,20230312,OCI0553,1293,2G
530,20230312,OCI0554,691,2G
531,20230312,OCI0555,1133,2G
532,20230312,OCI0556,739,2G
