,date_jour,code_site,number_of_call_drop_3g,techno
0,20230309,0,599,3G
1,20230309,4461,18,3G
2,20230309,OCI0001,286,3G
3,20230309,OCI0002,87,3G
4,20230309,OCI0003,103,3G
5,20230309,OCI0004,108,3G
6,20230309,OCI0005,159,3G
7,20230309,OCI0006,88,3G
8,20230309,OCI0007,179,3G
9,20230309,OCI0008,138,3G
10,20230309,OCI0009,428,3G
11,20230309,OCI0010,148,3G
12,20230309,OCI0011,167,3G
13,20230309,OCI0012,98,3G
14,20230309,OCI0013,180,3G
15,20230309,OCI0014,80,3G
16,20230309,OCI0015,190,3G
17,20230309,OCI0016,297,3G
18,20230309,OCI0017,137,3G
19,20230309,OCI0018,197,3G
20,20230309,OCI0019,356,3G
21,20230309,OCI0020,419,3G
22,20230309,OCI0021,210,3G
23,20230309,OCI0022,143,3G
24,20230309,OCI0023,115,3G
25,20230309,OCI0024,17,3G
26,20230309,OCI0025,530,3G
27,20230309,OCI0026,493,3G
28,20230309,OCI0028,97,3G
29,20230309,OCI0029,526,3G
30,20230309,OCI0030,161,3G
31,20230309,OCI0031,698,3G
32,20230309,OCI0033,156,3G
33,20230309,OCI0035,44,3G
34,20230309,OCI0036,134,3G
35,20230309,OCI0037,112,3G
36,20230309,OCI0038,729,3G
37,20230309,OCI0039,98,3G
38,20230309,OCI0041,794,3G
39,20230309,OCI0042,136,3G
40,20230309,OCI0043,123,3G
41,20230309,OCI0044,75,3G
42,20230309,OCI0045,114,3G
43,20230309,OCI0046,94,3G
44,20230309,OCI0047,19,3G
45,20230309,OCI0048,63,3G
46,20230309,OCI0049,165,3G
47,20230309,OCI0050,85,3G
48,20230309,OCI0051,84,3G
49,20230309,OCI0052,197,3G
50,20230309,OCI0053,74,3G
51,20230309,OCI0054,45,3G
52,20230309,OCI0055,38,3G
53,20230309,OCI0056,461,3G
54,20230309,OCI0057,670,3G
55,20230309,OCI0058,35,3G
56,20230309,OCI0059,348,3G
57,20230309,OCI0060,87,3G
58,20230309,OCI0061,151,3G
59,20230309,OCI0062,28,3G
60,20230309,OCI0063,137,3G
61,20230309,OCI0064,66,3G
62,20230309,OCI0065,102,3G
63,20230309,OCI0066,45,3G
64,20230309,OCI0067,59,3G
65,20230309,OCI0068,442,3G
66,20230309,OCI0069,194,3G
67,20230309,OCI0070,165,3G
68,20230309,OCI0071,52,3G
69,20230309,OCI0072,193,3G
70,20230309,OCI0073,100,3G
71,20230309,OCI0074,18,3G
72,20230309,OCI0075,819,3G
73,20230309,OCI0076,867,3G
74,20230309,OCI0077,267,3G
75,20230309,OCI0078,64,3G
76,20230309,OCI0080,50,3G
77,20230309,OCI0081,212,3G
78,20230309,OCI0083,31,3G
79,20230309,OCI0084,90,3G
80,20230309,OCI0085,23,3G
81,20230309,OCI0086,307,3G
82,20230309,OCI0087,675,3G
83,20230309,OCI0088,113,3G
84,20230309,OCI0089,41,3G
85,20230309,OCI0090,93,3G
86,20230309,OCI0091,49,3G
87,20230309,OCI0092,141,3G
88,20230309,OCI0093,114,3G
89,20230309,OCI0094,292,3G
90,20230309,OCI0095,126,3G
91,20230309,OCI0096,163,3G
92,20230309,OCI0097,47,3G
93,20230309,OCI0098,136,3G
94,20230309,OCI0099,58,3G
95,20230309,OCI0100,133,3G
96,20230309,OCI0101,242,3G
97,20230309,OCI0102,295,3G
98,20230309,OCI0104,238,3G
99,20230309,OCI0105,223,3G
100,20230309,OCI0106,88,3G
101,20230309,OCI0107,21,3G
102,20230309,OCI0108,61,3G
103,20230309,OCI0109,29,3G
104,20230309,OCI0110,13,3G
105,20230309,OCI0111,125,3G
106,20230309,OCI0112,115,3G
107,20230309,OCI0113,68,3G
108,20230309,OCI0114,75,3G
109,20230309,OCI0115,247,3G
110,20230309,OCI0116,108,3G
111,20230309,OCI0117,23,3G
112,20230309,OCI0118,111,3G
113,20230309,OCI0119,76,3G
114,20230309,OCI0121,4,3G
115,20230309,OCI0122,114,3G
116,20230309,OCI0123,136,3G
117,20230309,OCI0124,1133,3G
118,20230309,OCI0125,19,3G
119,20230309,OCI0127,79,3G
120,20230309,OCI0128,155,3G
121,20230309,OCI0129,526,3G
122,20230309,OCI0130,66,3G
123,20230309,OCI0132,52,3G
124,20230309,OCI0134,145,3G
125,20230309,OCI0135,224,3G
126,20230309,OCI0136,304,3G
127,20230309,OCI0137,178,3G
128,20230309,OCI0138,225,3G
129,20230309,OCI0139,114,3G
130,20230309,OCI0141,41,3G
131,20230309,OCI0142,186,3G
132,20230309,OCI0143,263,3G
133,20230309,OCI0144,82,3G
134,20230309,OCI0145,17,3G
135,20230309,OCI0146,163,3G
136,20230309,OCI0147,136,3G
137,20230309,OCI0148,75,3G
138,20230309,OCI0149,45,3G
139,20230309,OCI0150,65,3G
140,20230309,OCI0151,18,3G
141,20230309,OCI0152,261,3G
142,20230309,OCI0153,110,3G
143,20230309,OCI0154,49,3G
144,20230309,OCI0155,261,3G
145,20230309,OCI0156,21,3G
146,20230309,OCI0157,37,3G
147,20230309,OCI0158,44,3G
148,20230309,OCI0159,155,3G
149,20230309,OCI0160,68,3G
150,20230309,OCI0161,105,3G
151,20230309,OCI0162,93,3G
152,20230309,OCI0163,491,3G
153,20230309,OCI0164,37,3G
154,20230309,OCI0165,84,3G
155,20230309,OCI0166,93,3G
156,20230309,OCI0167,64,3G
157,20230309,OCI0168,1301,3G
158,20230309,OCI0169,238,3G
159,20230309,OCI0172,41,3G
160,20230309,OCI0173,225,3G
161,20230309,OCI0174,124,3G
162,20230309,OCI0175,137,3G
163,20230309,OCI0176,80,3G
164,20230309,OCI0177,38,3G
165,20230309,OCI0178,52,3G
166,20230309,OCI0179,136,3G
167,20230309,OCI0180,103,3G
168,20230309,OCI0181,243,3G
169,20230309,OCI0182,248,3G
170,20230309,OCI0183,1035,3G
171,20230309,OCI0184,51,3G
172,20230309,OCI0185,121,3G
173,20230309,OCI0186,197,3G
174,20230309,OCI0187,136,3G
175,20230309,OCI0188,60,3G
176,20230309,OCI0189,443,3G
177,20230309,OCI0190,863,3G
178,20230309,OCI0191,183,3G
179,20230309,OCI0192,727,3G
180,20230309,OCI0193,226,3G
181,20230309,OCI0194,72,3G
182,20230309,OCI0195,54,3G
183,20230309,OCI0196,305,3G
184,20230309,OCI0197,66,3G
185,20230309,OCI0198,72,3G
186,20230309,OCI0199,69,3G
187,20230309,OCI0200,81,3G
188,20230309,OCI0201,28,3G
189,20230309,OCI0202,66,3G
