,date_jour,code_site,trafic_voix,trafic_data,techno
0,20230223,0,820.33,,3G
1,20230223,1,,168.742177,4G
2,20230223,2,,93.14476,4G
3,20230223,21,,66.490658,4G
4,20230223,22,,50.693941,4G
5,20230223,23,,74.501849,4G
6,20230223,3,,94.581155,4G
7,20230223,31,,20.279765,4G
8,20230223,32,,21.115124,4G
9,20230223,33,,18.543283,4G
10,20230223,OCI0001,831.83,1.89404733,2G
11,20230223,OCI0001,956.129999999999,142.41,3G
12,20230223,OCI0001,,723.898961,4G
13,20230223,OCI0002,341.77,0.53540396,2G
14,20230223,OCI0002,552.099999999999,61.91,3G
15,20230223,OCI0002,,582.612487,4G
16,20230223,OCI0003,504.12,1.01661416,2G
17,20230223,OCI0003,761.65,208.24,3G
18,20230223,OCI0003,,577.935616,4G
19,20230223,OCI0004,601.95,0.95429915,2G
20,20230223,OCI0004,1227.98,230.71,3G
21,20230223,OCI0004,,1106.023132,4G
22,20230223,OCI0005,665.27,0.545304550000001,2G
23,20230223,OCI0005,827.05,201.45,3G
24,20230223,OCI0005,,1309.212412,4G
25,20230223,OCI0006,1119.86,0.6487751,2G
26,20230223,OCI0006,1066.82,195.85,3G
27,20230223,OCI0006,,1114.434039,4G
28,20230223,OCI0007,114.01,0.26166342,2G
29,20230223,OCI0007,571.73,54.57,3G
30,20230223,OCI0007,,282.759987,4G
31,20230223,OCI0008,172.83,0.08330454,2G
32,20230223,OCI0008,176.56,15.52,3G
33,20230223,OCI0008,,52.934468,4G
34,20230223,OCI0009,544.33,1.02276841,2G
35,20230223,OCI0009,1801.04,214.05,3G
36,20230223,OCI0009,,958.804607,4G
37,20230223,OCI0010,369.31,0.98492914,2G
38,20230223,OCI0010,1160.21,246.4,3G
39,20230223,OCI0010,,1337.16615,4G
40,20230223,OCI0011,359.05,1.07849068,2G
41,20230223,OCI0011,901.12,249.8,3G
42,20230223,OCI0011,,1122.32036,4G
43,20230223,OCI0012,455.15,2.01256802,2G
44,20230223,OCI0012,324.71,46.55,3G
45,20230223,OCI0012,,777.790754,4G
46,20230223,OCI0013,607.83,0.87880545,2G
47,20230223,OCI0013,1338.36,177.67,3G
48,20230223,OCI0013,,728.624698,4G
49,20230223,OCI0014,340.61,1.52767596,2G
50,20230223,OCI0014,1178.45,154.09,3G
51,20230223,OCI0014,,859.208244,4G
52,20230223,OCI0015,903.89,2.08385309,2G
53,20230223,OCI0015,1486.72,156.67,3G
54,20230223,OCI0015,,1061.73095,4G
55,20230223,OCI0016,1125.36,0.49057585,2G
56,20230223,OCI0016,678.65,58.79,3G
57,20230223,OCI0016,,279.292881,4G
58,20230223,OCI0017,625.13,1.166575,2G
59,20230223,OCI0017,248.02,55.0,3G
60,20230223,OCI0017,,206.841362,4G
61,20230223,OCI0018,393.12,0.43620657,2G
62,20230223,OCI0018,419.73,90.11,3G
